NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Peyton Watson,watsope01,22,SF,8.1,1.4,3.4,0.7,1.4,https://www.basketball-reference.com/players/w/watsope01.html
Julian Strawther,strawju01,22,SG,9.0,1.3,2.2,0.6,0.2,https://www.basketball-reference.com/players/s/strawju01.html
Jalen Pickett,pickeja02,25,SG,4.1,2.2,1.4,0.4,0.1,https://www.basketball-reference.com/players/p/pickeja02.html
Dario Šarić,saricda01,30,C,3.5,1.4,3.1,0.4,0.1,https://www.basketball-reference.com/players/s/saricda01.html
DeAndre Jordan,jordade01,36,C,3.7,0.9,5.1,0.3,0.5,https://www.basketball-reference.com/players/j/jordade01.html
Zeke Nnaji,nnajize01,24,PF,3.2,0.4,1.6,0.4,0.7,https://www.basketball-reference.com/players/n/nnajize01.html
Vlatko Čančar,cancavl01,27,PF,1.8,0.7,2.5,0.2,0.2,https://www.basketball-reference.com/players/c/cancavl01.html
Hunter Tyson,tysonhu01,24,PF,2.6,0.4,1.5,0.2,0.1,https://www.basketball-reference.com/players/t/tysonhu01.html
Spencer Jones,jonessp01,23,SF,1.3,0.3,0.9,0.3,0.3,https://www.basketball-reference.com/players/j/jonessp01.html
Trey Alexander,alexatr01,21,SG,1.3,0.5,0.5,0.1,0.0,https://www.basketball-reference.com/players/a/alexatr01.html
PJ Hall,hallpj01,22,C,1.7,0.2,1.2,0.0,0.2,https://www.basketball-reference.com/players/h/hallpj01.html
Cade Cunningham,cunnica01,23,PG,26.1,9.1,6.1,1.0,0.8,https://www.basketball-reference.com/players/c/cunnica01.html
Tobias Harris,harrito02,32,PF,13.7,2.2,5.9,1.0,0.8,https://www.basketball-reference.com/players/h/harrito02.html
Jaden Ivey,iveyja01,22,SG,17.6,4.0,4.1,0.9,0.4,https://www.basketball-reference.com/players/i/iveyja01.html
Tim Hardaway Jr.,hardati02,32,SG,11.0,1.6,2.4,0.5,0.1,https://www.basketball-reference.com/players/h/hardati02.html
Malik Beasley,beaslma01,28,SG,16.3,1.7,2.6,0.9,0.1,https://www.basketball-reference.com/players/b/beaslma01.html
Jalen Duren,durenja01,21,C,11.8,2.7,10.3,0.7,1.1,https://www.basketball-reference.com/players/d/durenja01.html
Dennis Schröder,schrode01,31,PG,10.8,5.3,2.6,0.5,0.2,https://www.basketball-reference.com/players/s/schrode01.html
Ausar Thompson,thompau01,22,SF,10.1,2.3,5.1,1.7,0.7,https://www.basketball-reference.com/players/t/thompau01.html
Tolu Smith,smithto05,24,PF,14.0,0.0,8.0,0.0,0.0,https://www.basketball-reference.com/players/s/smithto05.html
Isaiah Stewart,stewais01,23,C,6.0,1.7,5.5,0.4,1.4,https://www.basketball-reference.com/players/s/stewais01.html
Ron Harper Jr.,harpero02,24,SF,4.0,2.0,7.0,0.0,0.0,https://www.basketball-reference.com/players/h/harpero02.html
Simone Fontecchio,fontesi01,29,SF,5.9,0.9,2.9,0.4,0.2,https://www.basketball-reference.com/players/f/fontesi01.html
Ron Holland,hollaro01,19,SF,6.4,1.0,2.7,0.6,0.2,https://www.basketball-reference.com/players/h/hollaro01.html
Marcus Sasser,sassema01,24,PG,6.6,2.3,1.2,0.6,0.1,https://www.basketball-reference.com/players/s/sassema01.html
Wendell Moore Jr.,moorewe01,23,SG,3.2,1.2,2.2,0.5,0.2,https://www.basketball-reference.com/players/m/moorewe01.html
Paul Reed,reedpa01,25,C,4.1,1.0,2.7,0.9,0.6,https://www.basketball-reference.com/players/r/reedpa01.html
Lindy Waters III,waterli01,27,SG,3.4,0.7,1.0,0.4,0.1,https://www.basketball-reference.com/players/w/waterli01.html
Cole Swider,swideco01,25,SF,0.0,0.5,1.0,0.0,0.0,https://www.basketball-reference.com/players/s/swideco01.html
Bobi Klintman,klintbo01,21,SF,1.9,0.9,0.9,0.3,0.1,https://www.basketball-reference.com/players/k/klintbo01.html
Alondes Williams,willial06,25,SG,5.0,1.0,0.0,0.0,0.0,https://www.basketball-reference.com/players/w/willial06.html
Daniss Jenkins,jenkida01,23,PG,1.0,0.4,0.3,0.0,0.0,https://www.basketball-reference.com/players/j/jenkida01.html
Jimmy Butler,butleji01,35,SF,17.9,5.9,5.5,1.7,0.3,https://www.basketball-reference.com/players/b/butleji01.html
Stephen Curry,curryst01,36,PG,24.5,6.0,4.4,1.1,0.4,https://www.basketball-reference.com/players/c/curryst01.html
Andrew Wiggins,wiggian01,29,SF,17.6,2.4,4.6,0.9,0.8,https://www.basketball-reference.com/players/w/wiggian01.html
Draymond Green,greendr01,34,PF,9.0,5.6,6.1,1.5,1.0,https://www.basketball-reference.com/players/g/greendr01.html
Brandin Podziemski,podzibr01,21,SG,11.7,3.4,5.1,1.1,0.2,https://www.basketball-reference.com/players/p/podzibr01.html
Dennis Schröder,schrode01,31,SG,10.6,4.4,2.3,1.0,0.1,https://www.basketball-reference.com/players/s/schrode01.html
Jonathan Kuminga,kuminjo01,22,PF,15.3,2.2,4.6,0.8,0.4,https://www.basketball-reference.com/players/k/kuminjo01.html
Buddy Hield,hieldbu01,32,SG,11.1,1.6,3.2,0.8,0.3,https://www.basketball-reference.com/players/h/hieldbu01.html
Moses Moody,moodymo01,22,SG,9.8,1.3,2.6,0.8,0.4,https://www.basketball-reference.com/players/m/moodymo01.html
De'Anthony Melton,meltode01,26,SG,10.3,2.8,3.3,1.2,0.3,https://www.basketball-reference.com/players/m/meltode01.html
Lindy Waters III,waterli01,27,SG,5.5,1.1,2.5,0.6,0.3,https://www.basketball-reference.com/players/w/waterli01.html
Quinten Post,postqu01,24,PF,8.1,1.3,3.5,0.4,0.4,https://www.basketball-reference.com/players/p/postqu01.html
Trayce Jackson-Davis,jackstr02,24,C,6.6,1.7,5.0,0.4,0.6,https://www.basketball-reference.com/players/j/jackstr02.html
Kevon Looney,looneke01,28,C,4.5,1.6,6.1,0.6,0.5,https://www.basketball-reference.com/players/l/looneke01.html
Gary Payton II,paytoga02,32,SG,6.5,1.3,3.0,0.8,0.3,https://www.basketball-reference.com/players/p/paytoga02.html
Kyle Anderson,anderky01,31,PF,5.3,2.3,3.1,0.7,0.6,https://www.basketball-reference.com/players/a/anderky01.html
Gui Santos,santogu01,22,PF,4.1,1.4,3.1,0.4,0.2,https://www.basketball-reference.com/players/s/santogu01.html
Jackson Rowe,roweja01,28,PF,3.7,0.7,1.8,0.7,0.0,https://www.basketball-reference.com/players/r/roweja01.html
Yuri Collins,colliyu01,23,PG,1.0,2.0,1.5,1.0,0.0,https://www.basketball-reference.com/players/c/colliyu01.html
Pat Spencer,spencpa01,28,PG,2.5,1.2,1.2,0.4,0.1,https://www.basketball-reference.com/players/s/spencpa01.html
Kevin Knox,knoxke01,25,SF,3.3,0.4,1.2,0.1,0.3,https://www.basketball-reference.com/players/k/knoxke01.html
Braxton Key,keybr01,27,SF,1.0,0.0,0.7,0.7,0.0,https://www.basketball-reference.com/players/k/keybr01.html
Reece Beekman,beekmre01,23,PG,1.0,0.5,0.5,0.5,0.0,https://www.basketball-reference.com/players/b/beekmre01.html
Fred VanVleet,vanvlfr01,30,PG,14.1,5.6,3.7,1.6,0.4,https://www.basketball-reference.com/players/v/vanvlfr01.html
Jalen Green,greenja05,22,SG,21.0,3.4,4.6,0.9,0.3,https://www.basketball-reference.com/players/g/greenja05.html
Amen Thompson,thompam01,22,SF,14.1,3.8,8.2,1.4,1.3,https://www.basketball-reference.com/players/t/thompam01.html
Dillon Brooks,brookdi01,29,SF,14.0,1.7,3.7,0.8,0.2,https://www.basketball-reference.com/players/b/brookdi01.html
Alperen Şengün,sengual01,22,C,19.1,4.9,10.3,1.1,0.8,https://www.basketball-reference.com/players/s/sengual01.html
Jabari Smith Jr.,smithja05,21,PF,12.2,1.1,7.0,0.4,0.7,https://www.basketball-reference.com/players/s/smithja05.html
Tari Eason,easonta01,23,PF,12.0,1.5,6.4,1.7,0.9,https://www.basketball-reference.com/players/e/easonta01.html
Cam Whitmore,whitmca01,20,SF,9.4,1.0,3.0,0.6,0.3,https://www.basketball-reference.com/players/w/whitmca01.html
Steven Adams,adamsst01,31,C,3.9,1.1,5.6,0.4,0.5,https://www.basketball-reference.com/players/a/adamsst01.html
Aaron Holiday,holidaa01,28,PG,5.5,1.3,1.3,0.3,0.2,https://www.basketball-reference.com/players/h/holidaa01.html
N'Faly Dante,nfalyda01,23,C,6.0,0.5,5.3,0.3,1.3,https://www.basketball-reference.com/players/n/nfalyda01.html
Reed Sheppard,sheppre01,20,PG,4.4,1.4,1.5,0.7,0.3,https://www.basketball-reference.com/players/s/sheppre01.html
Jeff Green,greenje02,38,PF,5.4,0.6,1.8,0.2,0.1,https://www.basketball-reference.com/players/g/greenje02.html
Jock Landale,landajo01,29,C,4.8,0.9,3.3,0.3,0.2,https://www.basketball-reference.com/players/l/landajo01.html
David Roddy,roddyda01,23,PF,4.3,0.7,1.7,0.0,0.3,https://www.basketball-reference.com/players/r/roddyda01.html
Jae'Sean Tate,tateja01,29,SF,3.6,0.9,2.3,0.5,0.1,https://www.basketball-reference.com/players/t/tateja01.html
Jeenathan Williams,willije02,25,SG,3.3,0.5,0.7,0.4,0.2,https://www.basketball-reference.com/players/w/willije02.html
Jack McVeigh,mcveija01,28,PF,1.6,0.1,0.6,0.0,0.2,https://www.basketball-reference.com/players/m/mcveija01.html
Tyrese Haliburton,halibty01,24,PG,18.6,9.2,3.5,1.4,0.7,https://www.basketball-reference.com/players/h/halibty01.html
Pascal Siakam,siakapa01,30,PF,20.2,3.4,6.9,0.9,0.5,https://www.basketball-reference.com/players/s/siakapa01.html
Myles Turner,turnemy01,28,C,15.6,1.5,6.5,0.8,2.0,https://www.basketball-reference.com/players/t/turnemy01.html
Bennedict Mathurin,mathube01,22,SF,16.1,1.9,5.3,0.7,0.3,https://www.basketball-reference.com/players/m/mathube01.html
Andrew Nembhard,nembhan01,25,SG,10.0,5.0,3.3,1.2,0.2,https://www.basketball-reference.com/players/n/nembhan01.html
Aaron Nesmith,nesmiaa01,25,SF,12.0,1.2,4.0,0.8,0.4,https://www.basketball-reference.com/players/n/nesmiaa01.html
Obi Toppin,toppiob01,26,PF,10.5,1.6,4.0,0.6,0.4,https://www.basketball-reference.com/players/t/toppiob01.html
Ben Sheppard,sheppbe01,23,SG,5.3,1.3,2.8,0.6,0.2,https://www.basketball-reference.com/players/s/sheppbe01.html
T.J. McConnell,mccontj01,32,PG,9.1,4.4,2.4,1.1,0.3,https://www.basketball-reference.com/players/m/mccontj01.html
Isaiah Jackson,jacksis01,23,C,7.0,1.0,5.6,0.6,1.6,https://www.basketball-reference.com/players/j/jacksis01.html
Jarace Walker,walkeja02,21,PF,6.1,1.5,3.1,0.7,0.3,https://www.basketball-reference.com/players/w/walkeja02.html
Thomas Bryant,bryanth01,27,C,6.9,0.9,3.9,0.5,0.6,https://www.basketball-reference.com/players/b/bryanth01.html
Quenton Jackson,jacksqu01,26,PG,5.8,1.9,1.6,0.8,0.2,https://www.basketball-reference.com/players/j/jacksqu01.html
Enrique Freeman,freemen01,24,PF,2.1,0.4,1.4,0.1,0.1,https://www.basketball-reference.com/players/f/freemen01.html
Tony Bradley,bradlto01,27,C,4.4,0.4,3.0,0.1,0.6,https://www.basketball-reference.com/players/b/bradlto01.html
Johnny Furphy,furphjo01,20,SG,2.1,0.4,1.4,0.4,0.2,https://www.basketball-reference.com/players/f/furphjo01.html
RayJ Dennis,dennira01,23,PG,2.7,1.3,1.1,0.6,0.2,https://www.basketball-reference.com/players/d/dennira01.html
Moses Brown,brownmo01,25,C,3.2,0.0,1.4,0.2,0.1,https://www.basketball-reference.com/players/b/brownmo01.html
James Wiseman,wisemja01,23,C,6.0,0.0,1.0,0.0,0.0,https://www.basketball-reference.com/players/w/wisemja01.html
James Johnson,johnsja01,37,PF,0.7,0.3,0.5,0.0,0.2,https://www.basketball-reference.com/players/j/johnsja01.html
Jahlil Okafor,okafoja01,29,C,0.0,1.0,1.0,0.0,0.0,https://www.basketball-reference.com/players/o/okafoja01.html
Tristen Newton,newtotr01,23,SG,0.6,0.2,0.0,0.0,0.0,https://www.basketball-reference.com/players/n/newtotr01.html
James Harden,hardeja01,35,PG,22.8,8.7,5.8,1.5,0.7,https://www.basketball-reference.com/players/h/hardeja01.html
Ivica Zubac,zubaciv01,27,C,16.8,2.7,12.6,0.7,1.1,https://www.basketball-reference.com/players/z/zubaciv01.html
Norman Powell,powelno01,31,SG,21.8,2.1,3.2,1.2,0.2,https://www.basketball-reference.com/players/p/powelno01.html
Kawhi Leonard,leonaka01,33,SF,21.5,3.1,5.9,1.6,0.5,https://www.basketball-reference.com/players/l/leonaka01.html
Bogdan Bogdanović,bogdabo01,32,SG,11.4,3.2,3.1,0.7,0.2,https://www.basketball-reference.com/players/b/bogdabo01.html
Derrick Jones Jr.,jonesde02,27,SF,10.1,0.8,3.4,1.0,0.4,https://www.basketball-reference.com/players/j/jonesde02.html
Amir Coffey,coffeam01,27,SG,9.7,1.1,2.2,0.6,0.1,https://www.basketball-reference.com/players/c/coffeam01.html
Kris Dunn,dunnkr01,30,PG,6.4,2.8,3.4,1.7,0.4,https://www.basketball-reference.com/players/d/dunnkr01.html
Terance Mann,mannte01,28,SG,6.0,1.6,2.9,0.8,0.3,https://www.basketball-reference.com/players/m/mannte01.html
Kevin Porter Jr.,porteke02,24,SG,9.3,3.2,3.6,1.0,0.2,https://www.basketball-reference.com/players/p/porteke02.html
Nicolas Batum,batumni01,36,PF,4.0,1.1,2.8,0.7,0.5,https://www.basketball-reference.com/players/b/batumni01.html
Ben Simmons,simmobe01,28,PG,2.9,3.1,3.8,0.7,0.4,https://www.basketball-reference.com/players/s/simmobe01.html
Mo Bamba,bambamo01,26,C,4.6,0.6,4.3,0.3,1.0,https://www.basketball-reference.com/players/b/bambamo01.html
Jordan Miller,millejo02,25,SF,4.1,0.9,1.6,0.5,0.1,https://www.basketball-reference.com/players/m/millejo02.html
Bones Hyland,hylanbo01,24,PG,7.2,1.4,1.2,0.9,0.2,https://www.basketball-reference.com/players/h/hylanbo01.html
Drew Eubanks,eubandr01,27,C,2.7,0.4,2.4,0.1,0.3,https://www.basketball-reference.com/players/e/eubandr01.html
Kai Jones,joneska01,24,C,2.2,0.4,1.6,0.2,0.5,https://www.basketball-reference.com/players/j/joneska01.html
Kobe Brown,brownko01,25,PF,1.9,0.6,1.6,0.2,0.1,https://www.basketball-reference.com/players/b/brownko01.html
MarJon Beauchamp,beaucma01,24,SF,4.0,0.7,1.0,0.0,0.0,https://www.basketball-reference.com/players/b/beaucma01.html
Patty Mills,millspa02,36,PG,3.1,0.4,0.1,0.1,0.0,https://www.basketball-reference.com/players/m/millspa02.html
Trentyn Flowers,flowetr01,19,SF,1.8,0.0,0.7,0.0,0.0,https://www.basketball-reference.com/players/f/flowetr01.html
Cam Christie,chrisca02,19,SG,1.4,0.5,0.9,0.4,0.1,https://www.basketball-reference.com/players/c/chrisca02.html
Patrick Baldwin Jr.,baldwpa01,22,SF,3.0,0.5,1.5,0.0,0.0,https://www.basketball-reference.com/players/b/baldwpa01.html
Luka Dončić,doncilu01,25,PG,28.2,7.5,8.1,1.6,0.4,https://www.basketball-reference.com/players/d/doncilu01.html
Austin Reaves,reaveau01,26,SG,20.2,5.8,4.5,1.1,0.3,https://www.basketball-reference.com/players/r/reaveau01.html
LeBron James,jamesle01,40,SF,24.4,8.2,7.8,1.0,0.6,https://www.basketball-reference.com/players/j/jamesle01.html
Anthony Davis,davisan02,31,C,25.7,3.4,11.9,1.3,2.1,https://www.basketball-reference.com/players/d/davisan02.html
Rui Hachimura,hachiru01,26,PF,13.1,1.4,5.0,0.8,0.4,https://www.basketball-reference.com/players/h/hachiru01.html
Dorian Finney-Smith,finnedo01,31,PF,7.9,1.4,3.6,0.9,0.3,https://www.basketball-reference.com/players/f/finnedo01.html
D'Angelo Russell,russeda01,28,PG,12.4,4.7,2.8,0.8,0.1,https://www.basketball-reference.com/players/r/russeda01.html
Max Christie,chrisma02,21,SG,8.5,1.4,2.7,0.8,0.5,https://www.basketball-reference.com/players/c/chrisma02.html
Gabe Vincent,vincega01,28,PG,6.4,1.4,1.3,0.7,0.2,https://www.basketball-reference.com/players/v/vincega01.html
Jaxson Hayes,hayesja02,24,C,6.8,1.0,4.8,0.6,0.9,https://www.basketball-reference.com/players/h/hayesja02.html
Dalton Knecht,knechda01,23,SF,9.1,0.8,2.8,0.3,0.1,https://www.basketball-reference.com/players/k/knechda01.html
Jordan Goodwin,goodwjo01,26,PG,5.6,1.4,3.9,1.0,0.4,https://www.basketball-reference.com/players/g/goodwjo01.html
Cam Reddish,reddica01,25,SF,3.2,0.7,2.0,1.0,0.3,https://www.basketball-reference.com/players/r/reddica01.html
Jarred Vanderbilt,vandeja01,25,PF,4.1,1.1,5.1,1.0,0.3,https://www.basketball-reference.com/players/v/vandeja01.html
Markieff Morris,morrima02,35,PF,5.5,2.1,1.9,0.1,0.3,https://www.basketball-reference.com/players/m/morrima02.html
Alex Len,lenal01,31,C,2.2,0.8,3.1,0.1,0.3,https://www.basketball-reference.com/players/l/lenal01.html
Shake Milton,miltosh01,28,SG,3.9,1.3,1.8,0.3,0.1,https://www.basketball-reference.com/players/m/miltosh01.html
Trey Jemison,jemistr01,25,C,2.6,0.3,2.8,0.1,0.4,https://www.basketball-reference.com/players/j/jemistr01.html
Christian Koloko,kolokch01,24,C,2.4,0.4,2.5,0.2,0.4,https://www.basketball-reference.com/players/k/kolokch01.html
Armel Traoré,armeltr01,22,SF,1.6,0.1,1.7,0.4,0.2,https://www.basketball-reference.com/players/a/armeltr01.html
Jalen Hood-Schifino,hoodsja01,21,SG,2.0,0.5,0.5,0.0,0.5,https://www.basketball-reference.com/players/h/hoodsja01.html
Bronny James,jamesbr02,20,SG,2.3,0.8,0.7,0.3,0.1,https://www.basketball-reference.com/players/j/jamesbr02.html
Quincy Olivari,olivaqu01,23,PG,1.5,0.5,0.0,0.0,0.0,https://www.basketball-reference.com/players/o/olivaqu01.html
Maxwell Lewis,lewisma05,22,SF,0.6,0.3,0.3,0.1,0.0,https://www.basketball-reference.com/players/l/lewisma05.html
Desmond Bane,banede01,26,SG,19.2,5.3,6.1,1.2,0.4,https://www.basketball-reference.com/players/b/banede01.html
Ja Morant,moranja01,25,PG,23.2,7.3,4.1,1.2,0.2,https://www.basketball-reference.com/players/m/moranja01.html
Jaren Jackson Jr.,jacksja02,25,C,22.2,2.0,5.6,1.2,1.5,https://www.basketball-reference.com/players/j/jacksja02.html
Jaylen Wells,wellsja01,21,SG,10.4,1.7,3.4,0.6,0.1,https://www.basketball-reference.com/players/w/wellsja01.html
Santi Aldama,aldamsa01,24,PF,12.5,2.9,6.4,0.8,0.4,https://www.basketball-reference.com/players/a/aldamsa01.html
Luke Kennard,kennalu01,28,SG,8.9,3.3,2.8,0.8,0.1,https://www.basketball-reference.com/players/k/kennalu01.html
Zach Edey,edeyza01,22,C,9.2,1.0,8.3,0.5,1.3,https://www.basketball-reference.com/players/e/edeyza01.html
Scotty Pippen Jr.,pippesc02,24,PG,9.9,4.4,3.3,1.3,0.4,https://www.basketball-reference.com/players/p/pippesc02.html
Marcus Smart,smartma01,30,PG,8.7,3.7,2.3,1.2,0.3,https://www.basketball-reference.com/players/s/smartma01.html
Jake LaRavia,laravja01,23,PF,7.3,2.8,4.4,0.9,0.4,https://www.basketball-reference.com/players/l/laravja01.html
Brandon Clarke,clarkbr01,28,PF,8.3,1.0,5.1,0.8,0.6,https://www.basketball-reference.com/players/c/clarkbr01.html
Vince Williams Jr.,willivi01,24,SG,6.6,2.0,3.6,0.4,0.3,https://www.basketball-reference.com/players/w/willivi01.html
GG Jackson II,jacksgg01,20,PF,7.2,1.0,3.2,0.4,0.2,https://www.basketball-reference.com/players/j/jacksgg01.html
John Konchar,konchjo01,28,SG,2.4,0.9,3.3,0.7,0.3,https://www.basketball-reference.com/players/k/konchjo01.html
Jay Huff,huffja01,26,C,6.9,0.6,2.0,0.3,0.9,https://www.basketball-reference.com/players/h/huffja01.html
Cam Spencer,spencca01,24,SG,4.2,1.4,1.2,0.4,0.0,https://www.basketball-reference.com/players/s/spencca01.html
Lamar Stevens,stevela01,27,PF,4.4,0.5,2.2,0.3,0.2,https://www.basketball-reference.com/players/s/stevela01.html
Marvin Bagley III,baglema01,25,PF,3.6,0.3,2.3,0.2,0.3,https://www.basketball-reference.com/players/b/baglema01.html
Colin Castleton,castlco01,24,C,1.4,0.0,0.9,0.1,0.1,https://www.basketball-reference.com/players/c/castlco01.html
Yuki Kawamura,kawamyu01,23,PG,1.6,0.9,0.5,0.1,0.0,https://www.basketball-reference.com/players/k/kawamyu01.html
Zyon Pullin,pullizy01,23,SG,0.0,0.0,0.0,0.0,0.0,https://www.basketball-reference.com/players/p/pullizy01.html
