NAME,ID,AGE,POS,PPG,APG,RPG,STL,BLK,LINK
Tyler Herro,herroty01,25,SG,23.9,5.5,5.2,0.9,0.2,https://www.basketball-reference.com/players/h/herroty01.html
Bam Adebayo,adebaba01,27,C,18.1,4.3,9.6,1.3,0.7,https://www.basketball-reference.com/players/a/adebaba01.html
Andrew Wiggins,wiggian01,29,SF,19.0,3.3,4.2,1.2,1.0,https://www.basketball-reference.com/players/w/wiggian01.html
Davion Mitchell,mitchda01,26,PG,10.3,5.3,2.7,1.4,0.3,https://www.basketball-reference.com/players/m/mitchda01.html
Jimmy Butler,butleji01,35,PF,17.0,4.8,5.2,1.1,0.4,https://www.basketball-reference.com/players/b/butleji01.html
Terry Rozier,roziete01,30,PG,10.6,2.6,3.7,0.6,0.2,https://www.basketball-reference.com/players/r/roziete01.html
Nikola Jović,jovicni01,21,PF,10.7,2.8,3.9,0.8,0.3,https://www.basketball-reference.com/players/j/jovicni01.html
Haywood Highsmith,highsha01,28,SF,6.5,1.5,3.4,0.9,0.5,https://www.basketball-reference.com/players/h/highsha01.html
Duncan Robinson,robindu01,30,SF,11.0,2.4,2.3,0.5,0.1,https://www.basketball-reference.com/players/r/robindu01.html
Kel'el Ware,wareke01,20,C,9.3,0.9,7.4,0.6,1.1,https://www.basketball-reference.com/players/w/wareke01.html
Jaime Jaquez Jr.,jaqueja01,23,SF,8.6,2.5,4.4,0.9,0.2,https://www.basketball-reference.com/players/j/jaqueja01.html
Dru Smith,smithdr01,27,SG,6.2,1.6,2.6,1.5,0.4,https://www.basketball-reference.com/players/s/smithdr01.html
Josh Richardson,richajo01,31,SG,4.0,1.5,1.5,1.0,0.1,https://www.basketball-reference.com/players/r/richajo01.html
Kyle Anderson,anderky01,31,SF,6.7,2.6,3.8,0.6,0.5,https://www.basketball-reference.com/players/a/anderky01.html
Alec Burks,burksal01,33,SG,7.3,1.1,2.5,0.6,0.1,https://www.basketball-reference.com/players/b/burksal01.html
Pelle Larsson,larsspe01,23,SG,4.6,1.2,1.7,0.6,0.1,https://www.basketball-reference.com/players/l/larsspe01.html
Thomas Bryant,bryanth01,27,C,4.1,0.4,3.2,0.1,0.9,https://www.basketball-reference.com/players/b/bryanth01.html
Kevin Love,loveke01,36,PF,5.3,1.0,4.1,0.7,0.2,https://www.basketball-reference.com/players/l/loveke01.html
Keshad Johnson,johnske10,23,SF,2.7,0.3,1.8,0.3,0.3,https://www.basketball-reference.com/players/j/johnske10.html
Josh Christopher,chrisjo01,23,SG,2.0,0.6,0.6,0.4,0.2,https://www.basketball-reference.com/players/c/chrisjo01.html
Isaiah Stevens,steveis01,24,PG,0.0,0.0,0.7,0.3,0.0,https://www.basketball-reference.com/players/s/steveis01.html
Damian Lillard,lillada01,34,PG,24.9,7.1,4.7,1.2,0.2,https://www.basketball-reference.com/players/l/lillada01.html
Giannis Antetokounmpo,antetgi01,30,PF,30.4,6.5,11.9,0.9,1.2,https://www.basketball-reference.com/players/a/antetgi01.html
Kyle Kuzma,kuzmaky01,29,PF,14.5,2.2,5.6,0.5,0.4,https://www.basketball-reference.com/players/k/kuzmaky01.html
Brook Lopez,lopezbr01,36,C,13.0,1.8,5.0,0.6,1.9,https://www.basketball-reference.com/players/l/lopezbr01.html
Taurean Prince,princta02,30,SF,8.2,1.9,3.6,1.0,0.2,https://www.basketball-reference.com/players/p/princta02.html
Gary Trent Jr.,trentga02,26,SG,11.1,1.2,2.3,1.0,0.1,https://www.basketball-reference.com/players/t/trentga02.html
Bobby Portis,portibo01,29,PF,13.9,2.1,8.4,0.7,0.5,https://www.basketball-reference.com/players/p/portibo01.html
Khris Middleton,middlkh01,33,SF,12.6,4.4,3.7,0.7,0.2,https://www.basketball-reference.com/players/m/middlkh01.html
A.J. Green,greenaj01,25,SG,7.4,1.5,2.4,0.5,0.1,https://www.basketball-reference.com/players/g/greenaj01.html
Kevin Porter Jr.,porteke02,24,SG,11.7,3.7,3.9,1.3,0.1,https://www.basketball-reference.com/players/p/porteke02.html
Delon Wright,wrighde01,32,PG,2.5,1.8,1.8,0.9,0.3,https://www.basketball-reference.com/players/w/wrighde01.html
Jericho Sims,simsje01,26,C,2.4,0.8,4.9,0.1,0.6,https://www.basketball-reference.com/players/s/simsje01.html
Pat Connaughton,connapa01,32,SG,5.3,1.7,2.7,0.2,0.3,https://www.basketball-reference.com/players/c/connapa01.html
Andre Jackson Jr.,jacksan01,23,SG,3.4,1.2,2.7,0.5,0.2,https://www.basketball-reference.com/players/j/jacksan01.html
Ryan Rollins,rolliry01,22,PG,6.2,1.9,1.9,0.8,0.3,https://www.basketball-reference.com/players/r/rolliry01.html
Jamaree Bouyea,bouyeja01,25,PG,3.4,2.0,1.0,0.8,0.4,https://www.basketball-reference.com/players/b/bouyeja01.html
Pete Nance,nancepe01,24,PF,3.8,1.2,1.8,0.2,0.3,https://www.basketball-reference.com/players/n/nancepe01.html
AJ Johnson,johnsaj01,20,SG,2.9,1.0,1.0,0.1,0.0,https://www.basketball-reference.com/players/j/johnsaj01.html
Tyler Smith,smithty02,20,PF,2.9,0.2,1.1,0.1,0.2,https://www.basketball-reference.com/players/s/smithty02.html
Chris Livingston,livinch01,21,SF,1.4,0.2,1.7,0.2,0.0,https://www.basketball-reference.com/players/l/livinch01.html
MarJon Beauchamp,beaucma01,24,SF,2.0,0.3,1.2,0.1,0.0,https://www.basketball-reference.com/players/b/beaucma01.html
Liam Robbins,robbili01,25,C,0.7,0.2,0.9,0.2,0.2,https://www.basketball-reference.com/players/r/robbili01.html
Stanley Umude,umudest01,25,SG,0.7,0.2,0.8,0.1,0.3,https://www.basketball-reference.com/players/u/umudest01.html
Anthony Edwards,edwaran01,23,SG,27.6,4.5,5.7,1.2,0.6,https://www.basketball-reference.com/players/e/edwaran01.html
Rudy Gobert,goberru01,32,C,12.0,1.8,10.9,0.8,1.4,https://www.basketball-reference.com/players/g/goberru01.html
Julius Randle,randlju01,30,PF,18.7,4.7,7.1,0.7,0.2,https://www.basketball-reference.com/players/r/randlju01.html
Jaden McDaniels,mcdanja02,24,PF,12.2,2.0,5.7,1.3,0.9,https://www.basketball-reference.com/players/m/mcdanja02.html
Naz Reid,reidna01,25,C,14.2,2.3,6.0,0.7,0.9,https://www.basketball-reference.com/players/r/reidna01.html
Donte DiVincenzo,divindo01,28,SG,11.7,3.6,3.7,1.2,0.3,https://www.basketball-reference.com/players/d/divindo01.html
Nickeil Alexander-Walker,alexani01,26,SG,9.4,2.7,3.2,0.6,0.4,https://www.basketball-reference.com/players/a/alexani01.html
Mike Conley,conlemi01,37,PG,8.2,4.5,2.6,1.1,0.2,https://www.basketball-reference.com/players/c/conlemi01.html
Jaylen Clark,clarkja02,23,SG,4.1,0.7,1.3,0.9,0.1,https://www.basketball-reference.com/players/c/clarkja02.html
Terrence Shannon Jr.,shannte01,24,SG,4.3,1.0,1.5,0.2,0.2,https://www.basketball-reference.com/players/s/shannte01.html
Rob Dillingham,dilliro01,20,PG,4.5,2.0,1.0,0.4,0.0,https://www.basketball-reference.com/players/d/dilliro01.html
Joe Ingles,inglejo01,37,SF,0.8,1.2,0.6,0.1,0.0,https://www.basketball-reference.com/players/i/inglejo01.html
Josh Minott,minotjo01,22,SF,2.6,0.4,1.0,0.3,0.3,https://www.basketball-reference.com/players/m/minotjo01.html
Luka Garza,garzalu01,26,C,3.5,0.3,1.4,0.2,0.1,https://www.basketball-reference.com/players/g/garzalu01.html
Bones Hyland,hylanbo01,24,PG,1.3,1.0,0.3,0.0,0.0,https://www.basketball-reference.com/players/h/hylanbo01.html
Daishen Nix,nixda01,22,PG,0.3,1.0,1.3,0.0,0.0,https://www.basketball-reference.com/players/n/nixda01.html
PJ Dozier,doziepj01,28,SG,0.8,0.6,0.6,0.1,0.0,https://www.basketball-reference.com/players/d/doziepj01.html
Tristen Newton,newtotr01,23,SG,0.0,0.3,1.3,0.3,0.0,https://www.basketball-reference.com/players/n/newtotr01.html
Leonard Miller,millele01,21,SF,1.5,0.0,0.8,0.2,0.1,https://www.basketball-reference.com/players/m/millele01.html
Jesse Edwards,edwarje01,24,C,0.0,0.5,0.0,0.0,0.0,https://www.basketball-reference.com/players/e/edwarje01.html
Trey Murphy III,murphtr02,24,SF,21.2,3.5,5.1,1.1,0.7,https://www.basketball-reference.com/players/m/murphtr02.html
Brandon Ingram,ingrabr01,27,SF,22.2,5.2,5.6,0.9,0.6,https://www.basketball-reference.com/players/i/ingrabr01.html
CJ McCollum,mccolcj01,33,PG,21.1,4.1,3.8,0.8,0.4,https://www.basketball-reference.com/players/m/mccolcj01.html
Dejounte Murray,murrade01,28,PG,17.5,7.4,6.5,2.0,0.4,https://www.basketball-reference.com/players/m/murrade01.html
Herbert Jones,joneshe01,26,SF,10.3,3.3,3.9,1.9,0.5,https://www.basketball-reference.com/players/j/joneshe01.html
Zion Williamson,willizi01,24,PF,24.6,5.3,7.2,1.2,0.9,https://www.basketball-reference.com/players/w/willizi01.html
Yves Missi,missiyv01,20,C,9.1,1.4,8.2,0.5,1.3,https://www.basketball-reference.com/players/m/missiyv01.html
Kelly Olynyk,olynyke01,33,C,10.7,3.6,5.9,0.9,0.6,https://www.basketball-reference.com/players/o/olynyke01.html
Bruce Brown,brownbr01,28,PG,8.2,2.4,4.2,0.7,0.3,https://www.basketball-reference.com/players/b/brownbr01.html
Jose Alvarado,alvarjo01,26,PG,10.3,4.6,2.4,1.3,0.3,https://www.basketball-reference.com/players/a/alvarjo01.html
Keion Brooks Jr.,brookke02,24,SF,10.1,0.9,4.1,0.7,0.7,https://www.basketball-reference.com/players/b/brookke02.html
Jordan Hawkins,hawkijo01,22,SG,10.8,1.2,2.8,0.5,0.4,https://www.basketball-reference.com/players/h/hawkijo01.html
Brandon Boston Jr.,bostobr01,23,SG,10.7,2.2,3.2,1.3,0.2,https://www.basketball-reference.com/players/b/bostobr01.html
Javonte Green,greenja02,31,SG,5.8,0.9,3.6,1.1,0.6,https://www.basketball-reference.com/players/g/greenja02.html
Elfrid Payton,paytoel01,30,PG,4.4,8.1,3.7,1.0,0.4,https://www.basketball-reference.com/players/p/paytoel01.html
Jaylen Nowell,nowelja01,25,SG,8.4,2.3,2.5,0.1,0.5,https://www.basketball-reference.com/players/n/nowelja01.html
Kylor Kelley,kelleky01,27,C,3.3,1.0,6.0,0.3,0.3,https://www.basketball-reference.com/players/k/kelleky01.html
Jeremiah Robinson-Earl,robinje02,24,PF,6.3,1.3,4.8,0.6,0.1,https://www.basketball-reference.com/players/r/robinje02.html
Karlo Matković,matkoka01,23,PF,7.7,1.1,5.0,0.5,1.0,https://www.basketball-reference.com/players/m/matkoka01.html
Lester Quiñones,quinole01,24,SG,8.6,2.6,1.7,0.3,0.2,https://www.basketball-reference.com/players/q/quinole01.html
Daniel Theis,theisda01,32,C,4.3,1.6,4.3,0.5,0.5,https://www.basketball-reference.com/players/t/theisda01.html
Mo Bamba,bambamo01,26,C,2.5,0.5,6.3,0.0,0.8,https://www.basketball-reference.com/players/b/bambamo01.html
Antonio Reeves,reevean01,24,SG,6.9,0.9,1.4,0.5,0.1,https://www.basketball-reference.com/players/r/reevean01.html
Jamal Cain,cainja01,25,SF,5.3,0.6,2.3,0.6,0.2,https://www.basketball-reference.com/players/c/cainja01.html
Trey Jemison,jemistr01,25,C,2.4,0.6,2.8,0.4,0.4,https://www.basketball-reference.com/players/j/jemistr01.html
Josh Hart,hartjo01,29,SG,13.6,5.9,9.6,1.5,0.4,https://www.basketball-reference.com/players/h/hartjo01.html
Mikal Bridges,bridgmi01,28,SF,17.6,3.7,3.2,0.9,0.5,https://www.basketball-reference.com/players/b/bridgmi01.html
OG Anunoby,anunoog01,27,PF,18.0,2.2,4.8,1.5,0.9,https://www.basketball-reference.com/players/a/anunoog01.html
Jalen Brunson,brunsja01,28,PG,26.0,7.3,2.9,0.9,0.1,https://www.basketball-reference.com/players/b/brunsja01.html
Karl-Anthony Towns,townska01,29,C,24.4,3.1,12.8,1.0,0.7,https://www.basketball-reference.com/players/t/townska01.html
Miles McBride,mcbrimi01,24,PG,9.5,2.9,2.5,1.0,0.3,https://www.basketball-reference.com/players/m/mcbrimi01.html
Precious Achiuwa,achiupr01,25,C,6.6,1.0,5.6,0.8,0.7,https://www.basketball-reference.com/players/a/achiupr01.html
P.J. Tucker,tuckepj01,39,SF,3.0,0.0,2.7,0.3,0.3,https://www.basketball-reference.com/players/t/tuckepj01.html
Mitchell Robinson,robinmi01,26,C,5.1,0.8,5.9,0.9,1.1,https://www.basketball-reference.com/players/r/robinmi01.html
Delon Wright,wrighde01,32,PG,4.3,2.1,1.4,0.9,0.2,https://www.basketball-reference.com/players/w/wrighde01.html
Landry Shamet,shamela01,27,SG,5.7,0.5,1.2,0.5,0.0,https://www.basketball-reference.com/players/s/shamela01.html
Cameron Payne,payneca01,30,PG,6.9,2.8,1.4,0.5,0.2,https://www.basketball-reference.com/players/p/payneca01.html
Jericho Sims,simsje01,26,C,1.6,0.6,3.3,0.2,0.3,https://www.basketball-reference.com/players/s/simsje01.html
Ariel Hukporti,hukpoar01,22,C,1.9,0.4,2.0,0.0,0.6,https://www.basketball-reference.com/players/h/hukpoar01.html
Kevin McCullar Jr.,mcculke01,23,SF,1.5,0.5,2.0,0.3,0.3,https://www.basketball-reference.com/players/m/mcculke01.html
Tyler Kolek,kolekty01,23,PG,2.0,1.7,0.7,0.3,0.1,https://www.basketball-reference.com/players/k/kolekty01.html
Pacome Dadiet,dadiepa01,19,SG,1.7,0.3,1.0,0.2,0.1,https://www.basketball-reference.com/players/d/dadiepa01.html
Matt Ryan,ryanma01,27,SF,1.5,0.2,0.4,0.1,0.0,https://www.basketball-reference.com/players/r/ryanma01.html
Jacob Toppin,toppija01,24,SF,0.4,0.3,0.7,0.1,0.0,https://www.basketball-reference.com/players/t/toppija01.html
MarJon Beauchamp,beaucma01,24,SF,2.5,0.2,1.5,0.2,0.0,https://www.basketball-reference.com/players/b/beaucma01.html
Anton Watson,watsoan02,24,SF,0.9,0.2,0.3,0.1,0.0,https://www.basketball-reference.com/players/w/watsoan02.html
Shai Gilgeous-Alexander,gilgesh01,26,PG,32.7,6.4,5.0,1.7,1.0,https://www.basketball-reference.com/players/g/gilgesh01.html
Jalen Williams,willija06,23,SG,21.6,5.1,5.3,1.6,0.7,https://www.basketball-reference.com/players/w/willija06.html
Luguentz Dort,dortlu01,25,SF,10.1,1.6,4.1,1.1,0.5,https://www.basketball-reference.com/players/d/dortlu01.html
Isaiah Hartenstein,harteis01,26,C,11.2,3.8,10.7,0.8,1.1,https://www.basketball-reference.com/players/h/harteis01.html
Cason Wallace,wallaca01,21,SG,8.4,2.5,3.4,1.8,0.5,https://www.basketball-reference.com/players/w/wallaca01.html
Chet Holmgren,holmgch01,22,C,15.0,2.0,8.0,0.7,2.2,https://www.basketball-reference.com/players/h/holmgch01.html
Aaron Wiggins,wiggiaa01,26,SG,12.0,1.8,3.9,0.8,0.2,https://www.basketball-reference.com/players/w/wiggiaa01.html
Isaiah Joe,joeis01,25,SG,10.2,1.6,2.6,0.6,0.1,https://www.basketball-reference.com/players/j/joeis01.html
Alex Caruso,carusal01,30,SG,7.1,2.5,2.9,1.6,0.6,https://www.basketball-reference.com/players/c/carusal01.html
Jaylin Williams,willija07,22,PF,5.9,2.6,5.6,0.5,0.6,https://www.basketball-reference.com/players/w/willija07.html
Ajay Mitchell,mitchaj01,22,SG,6.5,1.8,1.9,0.7,0.1,https://www.basketball-reference.com/players/m/mitchaj01.html
Kenrich Williams,willike04,30,PF,6.3,1.4,3.5,0.6,0.1,https://www.basketball-reference.com/players/w/willike04.html
Ousmane Dieng,diengou01,21,C,3.8,0.8,2.2,0.5,0.2,https://www.basketball-reference.com/players/d/diengou01.html
Dillon Jones,jonesdi01,23,SF,2.5,1.1,2.2,0.3,0.1,https://www.basketball-reference.com/players/j/jonesdi01.html
Branden Carlson,carlsbr01,25,C,3.8,0.4,1.7,0.2,0.7,https://www.basketball-reference.com/players/c/carlsbr01.html
Alex Ducas,ducasal01,24,SG,1.7,0.2,1.2,0.2,0.0,https://www.basketball-reference.com/players/d/ducasal01.html
Adam Flagler,flaglad01,25,SG,1.8,0.3,0.7,0.2,0.1,https://www.basketball-reference.com/players/f/flaglad01.html
Malevy Leons,leonsma01,25,SF,0.3,0.2,0.5,0.0,0.0,https://www.basketball-reference.com/players/l/leonsma01.html
Alex Reese,reeseal01,25,PF,2.0,0.0,1.0,0.0,0.0,https://www.basketball-reference.com/players/r/reeseal01.html
Paolo Banchero,banchpa01,22,PF,25.9,4.8,7.5,0.8,0.6,https://www.basketball-reference.com/players/b/banchpa01.html
Franz Wagner,wagnefr01,23,SF,24.2,4.7,5.7,1.3,0.4,https://www.basketball-reference.com/players/w/wagnefr01.html
Kentavious Caldwell-Pope,caldwke01,31,SG,8.7,1.8,2.2,1.3,0.4,https://www.basketball-reference.com/players/c/caldwke01.html
Jalen Suggs,suggsja01,23,PG,16.2,3.7,4.0,1.5,0.9,https://www.basketball-reference.com/players/s/suggsja01.html
Wendell Carter Jr.,cartewe01,25,C,9.1,2.0,7.2,0.8,0.6,https://www.basketball-reference.com/players/c/cartewe01.html
Anthony Black,blackan01,21,PG,9.4,3.1,2.9,1.1,0.6,https://www.basketball-reference.com/players/b/blackan01.html
Tristan Da Silva,dasiltr01,23,SF,7.2,1.5,3.3,0.4,0.2,https://www.basketball-reference.com/players/d/dasiltr01.html
Goga Bitadze,bitadgo01,25,C,7.2,2.0,6.6,0.7,1.4,https://www.basketball-reference.com/players/b/bitadgo01.html
Moritz Wagner,wagnemo01,27,C,12.9,1.4,4.9,0.8,0.4,https://www.basketball-reference.com/players/w/wagnemo01.html
Cole Anthony,anthoco01,24,PG,9.4,2.9,3.0,0.7,0.5,https://www.basketball-reference.com/players/a/anthoco01.html
Jonathan Isaac,isaacjo01,27,PF,5.4,0.6,4.4,0.9,1.1,https://www.basketball-reference.com/players/i/isaacjo01.html
Gary Harris,harriga01,30,SG,3.0,0.6,1.3,0.5,0.3,https://www.basketball-reference.com/players/h/harriga01.html
Trevelin Queen,queentr01,27,SG,4.9,1.2,1.7,1.0,0.3,https://www.basketball-reference.com/players/q/queentr01.html
Caleb Houstan,houstca01,22,SF,4.1,0.6,1.3,0.4,0.1,https://www.basketball-reference.com/players/h/houstca01.html
Cory Joseph,josepco01,33,PG,3.5,1.4,1.5,0.5,0.1,https://www.basketball-reference.com/players/j/josepco01.html
Jett Howard,howarje01,21,SF,4.5,0.7,1.2,0.2,0.2,https://www.basketball-reference.com/players/h/howarje01.html
Mac McClung,mccluma01,26,SG,0.0,1.5,0.5,0.0,0.0,https://www.basketball-reference.com/players/m/mccluma01.html
Tyrese Maxey,maxeyty01,24,PG,26.3,6.1,3.3,1.8,0.4,https://www.basketball-reference.com/players/m/maxeyty01.html
Kelly Oubre Jr.,oubreke01,29,SF,15.1,1.8,6.1,1.5,0.5,https://www.basketball-reference.com/players/o/oubreke01.html
Quentin Grimes,grimequ01,24,SG,21.9,4.5,5.2,1.5,0.4,https://www.basketball-reference.com/players/g/grimequ01.html
Paul George,georgpa01,34,PF,16.2,4.3,5.3,1.8,0.5,https://www.basketball-reference.com/players/g/georgpa01.html
Caleb Martin,martica02,29,SF,9.1,2.2,4.4,1.1,0.6,https://www.basketball-reference.com/players/m/martica02.html
Joel Embiid,embiijo01,30,C,23.8,4.5,8.2,0.7,0.9,https://www.basketball-reference.com/players/e/embiijo01.html
Guerschon Yabusele,yabusgu01,29,C,11.0,2.1,5.6,0.8,0.3,https://www.basketball-reference.com/players/y/yabusgu01.html
Justin Edwards,edwarju01,21,SF,10.1,1.6,3.4,1.0,0.4,https://www.basketball-reference.com/players/e/edwarju01.html
Jared McCain,mccaija01,20,SG,15.3,2.6,2.4,0.7,0.0,https://www.basketball-reference.com/players/m/mccaija01.html
Marcus Bagley,baglema02,23,SF,6.7,1.0,7.0,0.9,1.2,https://www.basketball-reference.com/players/b/baglema02.html
Chuma Okeke,okekech01,26,PF,6.9,1.9,6.1,0.7,0.4,https://www.basketball-reference.com/players/o/okekech01.html
Jared Butler,butleja02,24,SG,11.5,4.9,2.5,1.1,0.3,https://www.basketball-reference.com/players/b/butleja02.html
Lonnie Walker IV,walkelo01,26,SG,12.4,2.5,3.2,0.5,0.3,https://www.basketball-reference.com/players/w/walkelo01.html
Oshae Brissett,brissos01,26,SF,8.7,0.7,3.7,0.7,0.5,https://www.basketball-reference.com/players/b/brissos01.html
Jalen Hood-Schifino,hoodsja01,21,SG,7.8,2.8,2.0,0.4,0.5,https://www.basketball-reference.com/players/h/hoodsja01.html
KJ Martin,martike04,24,PF,6.4,0.8,3.0,0.5,0.7,https://www.basketball-reference.com/players/m/martike04.html
Eric Gordon,gordoer01,36,SG,6.8,1.7,1.2,0.7,0.3,https://www.basketball-reference.com/players/g/gordoer01.html
